Trigger,DetectionTime,From,Protocol,Description
40004,01/12/2021 10:25:31,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:25:36,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:25:41,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:25:46,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:25:51,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:25:56,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:26:01,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:26:06,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:26:11,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:26:16,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:26:21,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:26:26,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:26:31,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:26:37,192.168.80.16,SMB,User Password Brute-force Attempt
40004,01/12/2021 10:26:42,192.168.80.16,SMB,User Password Brute-force Attempt
