no,time,src,src_port,dst,dst_port,protocol,length,info
2,0.000158,192.168.80.17,445,192.168.80.16,36109,TCP,74,"445 -> 36109 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=80731 TSecr=2580198261"
3,0.000344,192.168.80.16,36109,192.168.80.17,445,TCP,66,36109 -> 445 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2580198262 TSecr=80731
4,0.003889,192.168.80.16,,192.168.80.17,,SMB,154,Negotiate Protocol Request
5,0.004421,192.168.80.17,,192.168.80.16,,SMB,197,Negotiate Protocol Response
6,0.004546,192.168.80.16,36109,192.168.80.17,445,TCP,66,36109 -> 445 [ACK] Seq=89 Ack=132 Win=64128 Len=0 TSval=2580198266 TSecr=80731
7,0.016774,192.168.80.16,,192.168.80.17,,SMB,213,"Session Setup AndX Request, NTLMSSP_NEGOTIATE"
8,0.017197,192.168.80.17,,192.168.80.16,,SMB,443,"Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
9,0.017309,192.168.80.16,36109,192.168.80.17,445,TCP,66,36109 -> 445 [ACK] Seq=236 Ack=509 Win=64128 Len=0 TSval=2580198279 TSecr=80732
10,0.021021,192.168.80.16,,192.168.80.17,,SMB,486,"Session Setup AndX Request, NTLMSSP_AUTH, User: .\"
11,0.021905,192.168.80.17,,192.168.80.16,,SMB,105,"Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
12,0.022072,192.168.80.16,36109,192.168.80.17,445,TCP,66,36109 -> 445 [ACK] Seq=656 Ack=548 Win=64128 Len=0 TSval=2580198283 TSecr=80732
13,0.025246,192.168.80.16,,192.168.80.17,,SMB,169,"Session Setup AndX Request, User: .\"
14,0.025465,192.168.80.17,,192.168.80.16,,SMB,213,Session Setup AndX Response
15,0.02556,192.168.80.16,36109,192.168.80.17,445,TCP,66,36109 -> 445 [ACK] Seq=759 Ack=695 Win=64128 Len=0 TSval=2580198287 TSecr=80732
